codigo_truper,codigo_barras,clave,descripcion,descripcion_familia,marca,categoria,presentacion,precio_catalogo_mayoreo,precio_catalogo_medio_mayoreo,precio_catalogo_publico,precio_venta,existencia,datos_completos,confianza_extraccion,requiere_revision,pagina_catalogo,encontrado_en_pdf
16796,,LIBI-100D,"Linterna LED para bicicleta, delantera , de aluminio, 160 g","Linterna LED para bicicleta, delantera , de aluminio",,,160 g,210,230,250,250,,True,alta,False,205,True
16797,,LIBI-9T,"Linterna LED para bicicleta, trasera , plástica, 50 g","Linterna LED para bicicleta, trasera , plástica",,,50 g,65,72,79,79,,True,alta,False,205,True
16798,,LIBI-K2,Juego de linternas LED para bicicleta,Juego de linternas LED para bicicleta,,,,255,310,310,310,,True,alta,False,205,True
16820,,MXC-20,"Martillo multifuncional forjado en una pieza uña recta , 16 oz, 20 oz 1 1⁄8"" [^ (35 cm)","Martillo multifuncional forjado en una pieza uña recta , 16 oz",,,"20 oz 1 1⁄8"" [^ (35 cm)",355,390,430,430,,True,alta,False,282,True
16821,,MXR-20,"Martillo multifuncional forjado en una pieza uña recta , 16 oz, 20 oz 1 1⁄8"" [^ (35 cm)","Martillo multifuncional forjado en una pieza uña recta , 16 oz",,,"20 oz 1 1⁄8"" [^ (35 cm)",355,390,430,430,,True,alta,False,282,True
16823,,POL-1/2,,,,,,,,,,,False,baja,True,,False
16824,,POL-1,,,,,,,,,,,False,baja,True,,False
16825,,POL-1-1/2,,,,,,,,,,,False,baja,True,,False
16826,,POL-2,,,,,,,,,,,False,baja,True,,False
16827,,POL-3,,,,,,,,,,,False,baja,True,,False
16828,,POL-5,,,,,,,,,,,False,baja,True,,False
16829,,POL-10,,,,,,,,,,,False,baja,True,,False
16830,,CA-POL-1/2,"para polipastos, POL-12",para polipastos,,,POL-12,465,515,565,565,,True,alta,True,308,True
16831,,CA-POL-1,"para polipastos, POL-1",para polipastos,,,POL-1,475,525,575,575,,True,alta,False,308,True
16832,,CA-POL-1-1/2,para polipastos,para polipastos,,,,595,655,720,720,,True,alta,True,308,True
16833,,CA-POL-2,"para polipastos, POL-2",para polipastos,,,POL-2,715,790,870,870,,True,alta,False,308,True
16834,,CA-POL-3,"para polipastos, POL-3",para polipastos,,,POL-3,1190,1310,1445,1445,,True,alta,False,308,True
16835,,CA-POL-5,"para polipastos, POL-5",para polipastos,,,POL-5,1750,1925,2125,2125,,True,alta,False,308,True
16836,,CA-POL-10,"para polipastos, POL-10",para polipastos,,,POL-10,3250,3550,3925,3925,,True,alta,False,308,True
16840,,POPA-3/4,,,,,,,,,,,False,baja,True,,False
16841,,POPA-1,,,,,,,,,,,False,baja,True,,False
