codigo_truper,codigo_barras,clave,descripcion,descripcion_familia,marca,categoria,presentacion,precio_catalogo_mayoreo,precio_catalogo_medio_mayoreo,precio_catalogo_publico,precio_venta,existencia,datos_completos,confianza_extraccion,requiere_revision,pagina_catalogo,encontrado_en_pdf,motivo_revision
45407,,LED-T508O,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45408,,ARB-210S,,,,,Negro,235,255,280,280,,False,media,True,443,True,descripcion_ambigua;extraccion_ambigua
45409,,ARB-211S,,,,,Gris,235,255,280,280,,False,media,True,443,True,descripcion_ambigua;extraccion_ambigua
45411,,PVC-561,"Codo 90° de PVC de 1/2"", FOSET",,FOSET SANIFLOW,"Tubos y conexiones de PVC, serie inglesa",,,,,,,True,baja,True,,False,no_encontrado_en_pdf
45412,,PVC-562,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45413,,PVC-563,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45414,,PVC-861,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45415,,PVC-862,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45416,,PVC-863,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45417,,PVC-261,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45418,,PVC-262,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45419,,PVC-263,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45420,,PVC-761,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45421,,PVC-762,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45422,,PVC-763,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45423,,PVC-361,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45424,,PVC-362,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45425,,PVC-363,"Tapón de PVC 1"", FOSET",,FOSET SANIFLOW,"Tubos y conexiones de PVC, serie inglesa",,,,,,,True,baja,True,,False,no_encontrado_en_pdf
45426,,PVC-231,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45427,,PVC-232,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45428,,PVC-233,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45429,,PVC-611,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
45430,,PVC-612,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
