codigo_truper,clave,descripcion,descripcion_familia,presentacion,marca,precio_catalogo_publico,pagina_catalogo,confianza_extraccion,requiere_revision,elegible_para_maestro
19711,MOR-10,"Martillos pulidos Truper Grip, 10 oz 1 1⁄sx"" [\ (30 cm) 48",Martillos pulidos Truper Grip,"10 oz 1 1⁄sx"" [\ (30 cm) 48",TRUPER,195,281,alta,False,True
19847,LILE-11T,,,180 g,,195,200,media,True,False
19883,MD-3F,,"octagonales, ma>6@ de 580ra de J8dr8@ de 14"" (35 cm)",3 lb (1.3 kg),,270,279,media,True,False
19884,MD-6F,,"octagonales, ma>6@ de 580ra de J8dr8@ de 36"" (90 cm)",6 lb (2.7 kg),,625,279,media,True,False
19916,VASO-330,"Refacciones para pistola para pintar, 2 20",Refacciones para pistola para pintar,2 20,,230,111,alta,False,True
19952,GOT-L,"Goggles de seguridad, ultra ligeros Goggles de seguridad Goggles de seguridad, profesionales","Goggles de seguridad, ultra ligeros Goggles de seguridad Goggles de seguridad, profesionales",,,72,328,alta,False,True
19989,MORCA-16,,25%,"16 oz 1 1⁄2"" [^ (35 cm) 24",TRUPER,250,281,media,True,False
19990,MORCA-20,,25%,"20 oz 1 q⁄sx"" [` (40 cm) 24",TRUPER,287,281,media,True,False
2000,g,"Lámpara LED plástica reflectora, recargable , 2,000 lm","Lámpara LED plástica reflectora, recargable , 2,000 lm",,,1240,200,baja,True,False
20004,CDC-1915P,"Ancho 19 mm, 1.5 m",Ancho 19 mm,1.5 m,,16,94,alta,False,True
20005,CDC-1950P,"Ancho 19 mm, 5 m",Ancho 19 mm,5 m,,32,94,alta,False,True
2002,,"Estuche con 5 puntas pozidriv iguales , largo 2"" (50 mm)","Estuche con 5 puntas pozidriv iguales , largo 2"" (50 mm)",,,55,316,baja,True,False
20020,cm,con 10 cinchos de acero inoxidable 55 kg (121 lb),con 10 cinchos de acero inoxidable 55 kg (121 lb),,,48,398,baja,True,False
2006,mm,,,,,72,212,baja,True,False
2007,mm,,,,,72,212,baja,True,False
2008,i|v,"Llaves combinadas extra largas , pulidas, 125 mm","Llaves combinadas extra largas , pulidas",125 mm,,72,212,baja,True,False
2009,mm,,,,,75,212,baja,True,False
2010,A,"Cables pasa corriente 10 AWG (5 mmj), 2 m",Cables pasa corriente 10 AWG (5 mmj),2 m,,158,21,alta,False,True
2011,laJes,"Juegos de llaves combinadas, std 3",Juegos de llaves combinadas,std 3,,480,215,baja,True,False
2012,k|z,"Llaves combinadas extra largas , pulidas, 164 mm","Llaves combinadas extra largas , pulidas",164 mm,,77,212,baja,True,False
2013,mm,,,,,105,212,baja,True,False
2014,o|sx,"Llaves combinadas extra largas , pulidas, 183 mm","Llaves combinadas extra largas , pulidas",183 mm,,87,212,baja,True,False
2015,mm,,,,,130,212,baja,True,False
2016,i|t,"Llaves combinadas extra largas , pulidas, 202 mm","Llaves combinadas extra largas , pulidas",202 mm,,105,212,baja,True,False
2017,mm,,,90,,230,213,baja,True,False
2018,q|sx,"Llaves combinadas extra largas , pulidas, 220 mm","Llaves combinadas extra largas , pulidas",220 mm,,109,212,baja,True,False
2019,,"Juegos de llaves combinadas, 7 9 11 13 15",Juegos de llaves combinadas,7 9 11 13 15,,,215,baja,True,False
2020,m|z,"Llaves combinadas extra largas , pulidas, 230 mm","Llaves combinadas extra largas , pulidas",230 mm,,137,212,baja,True,False
20210,DUO-14X4TP,"de desarmadores de PVC, i|ve",de desarmadores de PVC,i|ve,,75,142,alta,False,True
20211,DUO-316X4TP,"de desarmadores de PVC, k|sxe",de desarmadores de PVC,k|sxe,,60,142,alta,False,True
20215,DUO-14X4BP,"de desarmadores, mango Comfort Grip, i⁄v","de desarmadores, mango Comfort Grip",i⁄v,,72,141,alta,False,True
20216,DUO-316X4BP,"de desarmadores, mango Comfort Grip, k⁄sx","de desarmadores, mango Comfort Grip",k⁄sx,,60,141,alta,False,True
20217,JDT-2BP,"Dúo de desarmadores tipo trompo , mango Comfort Grip","Dúo de desarmadores tipo trompo , mango Comfort Grip",,,55,141,alta,False,True
20218,JD-4BP,Juego de 4 desarmadores mango Comfort Grip,Juego de 4 desarmadores mango Comfort Grip,,,118,141,alta,False,True
2022,ii|sx,"Llaves combinadas extra largas , pulidas, 259 mm","Llaves combinadas extra largas , pulidas",259 mm,,152,212,baja,True,False
20220,JD-6BP,Juego de 6 desarmadores mango Comfort Grip,Juego de 6 desarmadores mango Comfort Grip,,,177,141,alta,False,True
2023,enlapared,"Cargadores de baterías para, la pared",Cargadores de baterías para,la pared,TRUPER,,277,baja,True,False
2024,,Vasos de repuesto para pistolas para pintar,Vasos de repuesto para pistolas para pintar,,,130,111,baja,True,False
2025,,Vasos de repuesto para pistolas para pintar,Vasos de repuesto para pistolas para pintar,,,110,111,baja,True,False
2026,REP-CAREL-13-1,,,,,42,331,media,True,False
2028,o|z,"Llaves combinadas Juegos de llaves combinadas, 260 mm 6",Llaves combinadas Juegos de llaves combinadas,260 mm 6,,92,215,baja,True,False
2030,Interruptor,"Rotomartillo SDS Plus, 2 Joules","Rotomartillo SDS Plus, 2 Joules",,,245,241,baja,True,False
2032,LL-2018XF,"Llaves combinadas pulidas con cabeza articulada y matraca, q|sx 181 mm 90 3",Llaves combinadas pulidas con cabeza articulada y matraca,q|sx 181 mm 90 3,,262,214,alta,False,True
2050,Cálida,"Focos de halógeno tipo PAR, 3,000 K 20 400 lm 50 W 6 × 8 cm",Focos de halógeno tipo PAR,"3,000 K 20 400 lm 50 W 6 × 8 cm",,87,434,baja,True,False
20524,CCA-40P,"Cintas para empaque, 48 mm de ancho Cinta impresa para empaque FRÁGIL , 48 mm de ancho, 40 m 12 72","Cintas para empaque, 48 mm de ancho Cinta impresa para empaque FRÁGIL , 48 mm de ancho",40 m 12 72,,19,93,alta,False,True
