codigo,codigo_barras,clave,descripcion,marca,categoria
43035,,GUPO-120B,"Guardapolvo fijo de 120 cm, blanco, HERMEX",HERMEX,Cerrajería / Guardapolvos
23511,,CL-50XP,"Candado de latón 50 mm llave tetra en blíster, HERMEX BASIC",HERMEX BASIC,Candados de latón
43463,,CEPO-31E,"Cerradura tipo esfera para entrada, cromo mate, HERMEX",HERMEX,Cerraduras de pomo
43189,,BR-300,"Bisagra rectangular 3 x 2"", acero natural, HERMEX",HERMEX,Bisagras rectangulares en caja y pares de bisagras en bolsa
43801,,CH-63,"Candado de hierro 63 mm, gancho corto en caja, HERMEX",HERMEX,Candados de hierro
46581,,TR-530N,"Tubo redondo para clóset, 3 m, negro mate, HERMEX",HERMEX,Accesorios para clóset
43777,,TODO-3,"Tope tipo media luna para puerta, cromo, HERMEX",HERMEX,Cerrajería (accesorios)
43080,,CASE-31,"Caja de seguridad electrónica, chica, HERMEX",HERMEX,"Cajas de seguridad, para dinero y para llaves <span class=""Torange"">|</span> Duplicadoras"
43350,,CMA-3C,"Candado maletero de combinación 25 mm, blíster, HERMEX",HERMEX,Candados antipalanca | Candados de combinación
43452,,CEPO-32R,"Cerradura tipo oval para recámara, cromo mate, HERMEX",HERMEX,Cerraduras de pomo
43468,,CEPO-21B,"Cerradura tipo esfera para baño, latón antiguo, HERMEX",HERMEX,Cerraduras de pomo
43437,,CL-40L,"Candado de latón 40 mm gancho largo en blíster, HERMEX",HERMEX,Candados de latón
43197,,BR-351,"Bisagra rectangular 3-1/2 x 2-1/8"", acero latonado, HERMEX",HERMEX,Bisagras rectangulares en caja y pares de bisagras en bolsa
43236,,BC-251P,"Bisagra cuadrada 2-1/2"", acero latonado, cabeza plana HERMEX",HERMEX,Bisagras cuadradas y rectangulares en caja
43082,,CASE-43,"Caja de seguridad electrónica, Laptop, HERMEX",HERMEX,"Cajas de seguridad, para dinero y para llaves <span class=""Torange"">|</span> Duplicadoras"
43351,,CMA-4C,"Candado maletero de combinación 36 mm, blíster, HERMEX",HERMEX,Candados antipalanca | Candados de combinación
43602,,CERO-32,"Cerrojo llave-llave cromo mate, llave puntos, HERMEX",HERMEX,Cerraduras / Cerrojos y juegos de pomo y cerrojo
43792,,CHB-32,"Candado de hierro 32 mm, gancho corto en blíster, HERMEX",HERMEX,Candados de hierro
43797,,CH-25L,"Candado de hierro 25 mm, gancho largo en caja, HERMEX",HERMEX,Candados de hierro
43804,,CHB-63L,"Candado de hierro 63 mm, gancho largo en blíster, HERMEX",HERMEX,Candados de hierro
43795,,CH-25,"Candado de hierro 25 mm, gancho corto en caja, HERMEX",HERMEX,Candados de hierro
43441,,CL-40XL,"Candado de latón 40 mm gancho extra largo en blíster, HERMEX",HERMEX,Candados de latón
43209,,BR-301B,"Bolsa 2 bisagras rectangulares 3x2"", acero latonado, HERMEX",HERMEX,Bisagras rectangulares en caja y pares de bisagras en bolsa
43442,,CL-50XL,"Candado de latón 50 mm gancho extra largo en blíster, HERMEX",HERMEX,Candados de latón
45894,,TR-515,"Tubo redondo para clóset, 1.5 m, cromo brillante, HERMEX",HERMEX,Accesorios para clóset
43469,,CEPO-21E,"Cerradura tipo esfera para entrada, latón antiguo, HERMEX",HERMEX,Cerraduras de pomo
43798,,CHB-25L,"Candado de hierro 25 mm, gancho largo en blíster, HERMEX",HERMEX,Candados de hierro
43597,,CERO-22,"Cerrojo llave-llave latón antiguo, llave puntos, HERMEX",HERMEX,Cerraduras / Cerrojos y juegos de pomo y cerrojo
45328,,CALLA-12C,"Caja guardallaves de combinación para pared, 12 cm, HERMEX",HERMEX,"Cajas de seguridad, para dinero y para llaves <span class=""Torange"">|</span> Duplicadoras"
46364,,GUPO-102,"Guardapolvo con funda 95 cm, negro, HERMEX",HERMEX,Cerrajería / Guardapolvos
