codigo_truper,codigo_barras,clave,descripcion,marca,categoria,precio_venta,existencia,datos_completos
45109,,CPVC-643,,,,,,False
45110,,MAST-280,"Mástil de 2.8 m para antena aérea, VOLTECK",VOLTECK,Antenas aéreas y mástiles,,,True
45111,,MAST-140,,,,,,False
45112,,ALG-220B,,,,,,False
45113,,CARMO-25,,,,,,False
45115,,ALG-200B,,,,,,False
45116,,ALG-180B,,,,,,False
45117,,ALG-160B,,,,,,False
45118,,CPVC-361,,,,,,False
45119,,CPVC-362,,,,,,False
45120,,CPVC-363,"Tapón de CPVC 1"", FOSET",FOSET HIDROFLOW,Conexiones de CPVC,,,True
45121,,ALG-145B,,,,,,False
45126,,CPVC-261,,,,,,False
45127,,CPVC-262,,,,,,False
45128,,CPVC-263,,,,,,False
45129,,CPVC-221,,,,,,False
45154,,REGEL-4G,,,,,,False
45155,,REGEL-4A,,,,,,False
45164,,AQA-78,,,,,,False
45165,,R-012,,,,,,False
45166,,R-012N,,,,,,False
45167,,R-202,,,,,,False
45168,,R-202N,,,,,,False
45169,,R-202S,,,,,,False
45170,,R-202SN,,,,,,False
45171,,CV-TER,"Termofusora de 600 W para PPR, FOSET",FOSET TERMOFLOW,Kits de PPR para regadera y termofusoras,,,True
45175,,TA-645X,,,,,,False
45176,,TA-822TX,,,,,,False
45204,,RIA-73,,,,,,False
45205,,RIA-71,,,,,,False
45206,,RIA-74,,,,,,False
45207,,RIA-77,,,,,,False
45208,,RIA-72,,,,,,False
45209,,RIA-76,,,,,,False
45210,,RIA-78,,,,,,False
45211,,RIA-7000,,,,,,False
45212,,RIA-75,,,,,,False
45213,,RIA-70,,,,,,False
45214,,RIA-79,,,,,,False
45215,,RIA-75DI,,,,,,False
45216,,RIA-75DIN,,,,,,False
45217,,ARB-005S,,,,,,False
45218,,ARB-302L,,,,,,False
45219,,RIA-73N,,,,,,False
45220,,RIA-71N,,,,,,False
45221,,RIA-74N,,,,,,False
45222,,RIA-77N,,,,,,False
45223,,RIA-72N,,,,,,False
45224,,RIA-76N,,,,,,False
45225,,RIA-78N,,,,,,False
45226,,RIA-7000N,,,,,,False
45227,,RIA-75N,,,,,,False
45228,,CEP-21PJC,,,,,,False
45229,,CEP-61PJC,,,,,,False
